Date,iShares MSCI ACWI UCITS ETF (Acc) (IE00B6R52259)
06/2016,8.243023531454616
07/2016,8.590861477024406
08/2016,8.60778904068463
09/2016,8.640329793171636
10/2016,8.661179359672325
11/2016,8.985133844616394
12/2016,9.263186821238612
01/2017,9.327516822980458
02/2017,9.734814779949025
03/2017,9.772079014606403
04/2017,9.710151360645048
05/2017,9.673942385096185
06/2017,9.557617364072156
07/2017,9.56260937948973
08/2017,9.522738892647208
09/2017,9.724312340886392
10/2017,10.070184390235294
11/2017,10.085171682223276
12/2017,10.126395918581126
01/2018,10.299560781866507
02/2018,10.065660066862833
03/2018,9.768945830641858
04/2018,10.06381937170788
05/2018,10.410963309659481
06/2018,10.393428313531588
07/2018,10.637326011484372
08/2018,10.802142941202913
09/2018,10.92210086831724
10/2018,10.334559716885055
11/2018,10.45101920875629
12/2018,9.640152457732361
01/2019,10.368279977826168
02/2019,10.715749342925122
03/2019,11.030303087654621
04/2019,11.424036104060797
05/2019,10.818610131496774
06/2019,11.29819645596158
07/2019,11.56608951037506
08/2019,11.41279245501402
09/2019,11.813657936125969
10/2019,11.849629769166826
11/2019,12.332187568189713
12/2019,12.483052735571135
01/2020,12.549567649487397
02/2020,11.617560751546385
03/2020,10.073524132311189
04/2020,11.238141120042885
05/2020,11.457877539651463
06/2020,11.761568650517866
07/2020,11.70671131114212
08/2020,12.329933415786824
09/2020,12.171423361843406
10/2020,11.88664330490582
11/2020,13.03985103370694
12/2020,13.324201201025646
01/2021,13.41217719734825
02/2021,13.741597198550206
03/2021,14.590388866160989
04/2021,14.781766773526584
05/2021,14.87079846918192
06/2021,15.471204906259299
07/2021,15.570537996897587
08/2021,16.039411034965745
09/2021,15.719813443391514
10/2021,16.42995366787024
11/2021,16.434631444447575
12/2021,17.15039672977915
01/2022,16.55700016085846
02/2022,16.069629013972715
03/2022,16.5695095636643
04/2022,16.05835436067166
05/2022,15.826079256766889
06/2022,14.95092457484162
07/2022,16.294308168194092
08/2022,16.008950550124354
09/2022,14.854884520627508
10/2022,15.488853457449526
11/2022,15.951282356417305
12/2022,14.910460639346537
01/2023,15.73406674147713
02/2023,15.594135683423769
03/2023,15.704511224752222
04/2023,15.781226416867382
05/2023,16.05663659691629
06/2023,16.70707731015706
07/2023,17.074138957949295
08/2023,16.837765008054447
09/2023,16.56231007015
10/2023,16.02744640458603
11/2023,17.0117705751491
12/2023,17.639961201144807
01/2024,18.09306327271042
02/2024,18.892306560063222
03/2024,19.51982543321394
04/2024,19.044750012894323
05/2024,19.582231861506003
06/2024,20.2971611296998
07/2024,20.392375139468495
08/2024,20.43834652757039
09/2024,20.738285662867742
10/2024,20.837016275737934
11/2024,22.215648872884017
12/2024,22.119638363801233
01/2025,22.76938231824626
02/2025,22.61858533349854
03/2025,20.91280839376046
04/2025,20.05430161655525
05/2025,21.231655619081398
06/2025,21.451945187644235
07/2025,22.295911789980973
08/2025,22.33617733773112
