period,year,half-year,quarter,month,day,indicator,unit,Status,Data producer,Region / business partner,Data type,values,sort
year,1989,,,,,"Real estate price index, Vienna, new apartments, 2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",1.8,AB004C006D003
year,1989,,,,,"Real estate price index, Vienna, used apartments, 2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",22.7,AB004C006D004
year,1990,,,,,"Real estate price index, Vienna, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",76.5,AB003C000D000E000F001
year,1990,,,,,"Real estate price index, Vienna, single-family houses, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",75.4,AB003C000D000E000F001G000
year,1990,,,,,"Real estate price index, Vienna, apartments total, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",76.6,AB003C000D000E000F001G001
year,1990,,,,,"Real estate price index, Vienna, new apartments, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",83.4,AB003C000D000E000F001G002
year,1990,,,,,"Real estate price index, Vienna, used apartments, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",75.4,AB003C000D000E000F001G003
year,1990,,,,,"Real estate price index, Vienna, annual change in %, 2000=100",Percent,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",26.1,AB004C006D000
year,1990,,,,,"Real estate price index, Vienna, single-family houses,2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",14.3,AB004C006D001
year,1990,,,,,"Real estate price index, Vienna, apartments total, 2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",27.1,AB004C006D002
year,1990,,,,,"Real estate price index, Vienna, new apartments, 2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",22.4,AB004C006D003
year,1990,,,,,"Real estate price index, Vienna, used apartments, 2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",28.1,AB004C006D004
year,1991,,,,,"Real estate price index, Vienna, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",92.3,AB003C000D000E000F001
year,1991,,,,,"Real estate price index, Vienna, single-family houses, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",83.0,AB003C000D000E000F001G000
year,1991,,,,,"Real estate price index, Vienna, apartments total, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",92.9,AB003C000D000E000F001G001
year,1991,,,,,"Real estate price index, Vienna, new apartments, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",93.5,AB003C000D000E000F001G002
year,1991,,,,,"Real estate price index, Vienna, used apartments, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",92.9,AB003C000D000E000F001G003
year,1991,,,,,"Real estate price index, Vienna, annual change in %, 2000=100",Percent,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",20.6,AB004C006D000
year,1991,,,,,"Real estate price index, Vienna, single-family houses,2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",10.1,AB004C006D001
year,1991,,,,,"Real estate price index, Vienna, apartments total, 2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",21.3,AB004C006D002
year,1991,,,,,"Real estate price index, Vienna, new apartments, 2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",12.1,AB004C006D003
year,1991,,,,,"Real estate price index, Vienna, used apartments, 2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",23.1,AB004C006D004
year,1992,,,,,"Real estate price index, Vienna, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",107.0,AB003C000D000E000F001
year,1992,,,,,"Real estate price index, Vienna, single-family houses, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",94.6,AB003C000D000E000F001G000
year,1992,,,,,"Real estate price index, Vienna, apartments total, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",107.9,AB003C000D000E000F001G001
year,1992,,,,,"Real estate price index, Vienna, new apartments, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",103.7,AB003C000D000E000F001G002
year,1992,,,,,"Real estate price index, Vienna, used apartments, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",108.6,AB003C000D000E000F001G003
year,1992,,,,,"Real estate price index, Vienna, annual change in %, 2000=100",Percent,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",16.0,AB004C006D000
year,1992,,,,,"Real estate price index, Vienna, single-family houses,2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",13.9,AB004C006D001
year,1992,,,,,"Real estate price index, Vienna, apartments total, 2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",16.1,AB004C006D002
year,1992,,,,,"Real estate price index, Vienna, new apartments, 2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",10.9,AB004C006D003
year,1992,,,,,"Real estate price index, Vienna, used apartments, 2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",17.0,AB004C006D004
year,1993,,,,,"Real estate price index, Vienna, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",107.4,AB003C000D000E000F001
year,1993,,,,,"Real estate price index, Vienna, single-family houses, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",95.9,AB003C000D000E000F001G000
year,1993,,,,,"Real estate price index, Vienna, apartments total, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",108.2,AB003C000D000E000F001G001
year,1993,,,,,"Real estate price index, Vienna, new apartments, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",99.2,AB003C000D000E000F001G002
year,1993,,,,,"Real estate price index, Vienna, used apartments, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",109.8,AB003C000D000E000F001G003
year,1993,,,,,"Real estate price index, Vienna, annual change in %, 2000=100",Percent,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",0.4,AB004C006D000
year,1993,,,,,"Real estate price index, Vienna, single-family houses,2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",1.3,AB004C006D001
year,1993,,,,,"Real estate price index, Vienna, apartments total, 2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",0.3,AB004C006D002
year,1993,,,,,"Real estate price index, Vienna, new apartments, 2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",-4.4,AB004C006D003
year,1993,,,,,"Real estate price index, Vienna, used apartments, 2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",1.1,AB004C006D004
year,1994,,,,,"Real estate price index, Vienna, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",107.8,AB003C000D000E000F001
year,1994,,,,,"Real estate price index, Vienna, single-family houses, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",98.2,AB003C000D000E000F001G000
year,1994,,,,,"Real estate price index, Vienna, apartments total, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",108.6,AB003C000D000E000F001G001
year,1994,,,,,"Real estate price index, Vienna, new apartments, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",102.3,AB003C000D000E000F001G002
year,1994,,,,,"Real estate price index, Vienna, used apartments, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",109.6,AB003C000D000E000F001G003
year,1994,,,,,"Real estate price index, Vienna, annual change in %, 2000=100",Percent,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",0.4,AB004C006D000
year,1994,,,,,"Real estate price index, Vienna, single-family houses,2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",2.4,AB004C006D001
year,1994,,,,,"Real estate price index, Vienna, apartments total, 2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",0.3,AB004C006D002
year,1994,,,,,"Real estate price index, Vienna, new apartments, 2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",3.1,AB004C006D003
year,1994,,,,,"Real estate price index, Vienna, used apartments, 2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",-0.2,AB004C006D004
year,1995,,,,,"Real estate price index, Vienna, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",106.8,AB003C000D000E000F001
year,1995,,,,,"Real estate price index, Vienna, single-family houses, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",101.0,AB003C000D000E000F001G000
year,1995,,,,,"Real estate price index, Vienna, apartments total, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",107.2,AB003C000D000E000F001G001
year,1995,,,,,"Real estate price index, Vienna, new apartments, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",89.8,AB003C000D000E000F001G002
year,1995,,,,,"Real estate price index, Vienna, used apartments, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",110.2,AB003C000D000E000F001G003
year,1995,,,,,"Real estate price index, Vienna, annual change in %, 2000=100",Percent,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",-1.0,AB004C006D000
year,1995,,,,,"Real estate price index, Vienna, single-family houses,2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",2.9,AB004C006D001
year,1995,,,,,"Real estate price index, Vienna, apartments total, 2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",-1.2,AB004C006D002
year,1995,,,,,"Real estate price index, Vienna, new apartments, 2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",-12.2,AB004C006D003
year,1995,,,,,"Real estate price index, Vienna, used apartments, 2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",0.5,AB004C006D004
year,1996,,,,,"Real estate price index, Vienna, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",107.0,AB003C000D000E000F001
year,1996,,,,,"Real estate price index, Vienna, single-family houses, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",101.0,AB003C000D000E000F001G000
year,1996,,,,,"Real estate price index, Vienna, apartments total, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",107.5,AB003C000D000E000F001G001
year,1996,,,,,"Real estate price index, Vienna, new apartments, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",95.1,AB003C000D000E000F001G002
year,1996,,,,,"Real estate price index, Vienna, used apartments, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",109.6,AB003C000D000E000F001G003
year,1996,,,,,"Real estate price index, Vienna, annual change in %, 2000=100",Percent,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",0.2,AB004C006D000
year,1996,,,,,"Real estate price index, Vienna, single-family houses,2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",-0.1,AB004C006D001
year,1996,,,,,"Real estate price index, Vienna, apartments total, 2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",0.2,AB004C006D002
year,1996,,,,,"Real estate price index, Vienna, new apartments, 2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",6.0,AB004C006D003
year,1996,,,,,"Real estate price index, Vienna, used apartments, 2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",-0.6,AB004C006D004
year,1997,,,,,"Real estate price index, Vienna, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",107.8,AB003C000D000E000F001
year,1997,,,,,"Real estate price index, Vienna, single-family houses, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",103.2,AB003C000D000E000F001G000
year,1997,,,,,"Real estate price index, Vienna, apartments total, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",108.2,AB003C000D000E000F001G001
year,1997,,,,,"Real estate price index, Vienna, new apartments, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",93.5,AB003C000D000E000F001G002
year,1997,,,,,"Real estate price index, Vienna, used apartments, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",110.7,AB003C000D000E000F001G003
year,1997,,,,,"Real estate price index, Vienna, annual change in %, 2000=100",Percent,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",0.7,AB004C006D000
year,1997,,,,,"Real estate price index, Vienna, single-family houses,2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",2.2,AB004C006D001
year,1997,,,,,"Real estate price index, Vienna, apartments total, 2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",0.6,AB004C006D002
year,1997,,,,,"Real estate price index, Vienna, new apartments, 2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",-1.7,AB004C006D003
year,1997,,,,,"Real estate price index, Vienna, used apartments, 2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",1.0,AB004C006D004
year,1998,,,,,"Real estate price index, Vienna, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",102.6,AB003C000D000E000F001
year,1998,,,,,"Real estate price index, Vienna, single-family houses, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",97.0,AB003C000D000E000F001G000
year,1998,,,,,"Real estate price index, Vienna, apartments total, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",103.0,AB003C000D000E000F001G001
year,1998,,,,,"Real estate price index, Vienna, new apartments, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",88.1,AB003C000D000E000F001G002
year,1998,,,,,"Real estate price index, Vienna, used apartments, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",105.5,AB003C000D000E000F001G003
year,1998,,,,,"Real estate price index, Vienna, annual change in %, 2000=100",Percent,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",-4.9,AB004C006D000
year,1998,,,,,"Real estate price index, Vienna, single-family houses,2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",-6.0,AB004C006D001
year,1998,,,,,"Real estate price index, Vienna, apartments total, 2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",-4.8,AB004C006D002
year,1998,,,,,"Real estate price index, Vienna, new apartments, 2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",-5.8,AB004C006D003
year,1998,,,,,"Real estate price index, Vienna, used apartments, 2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",-4.7,AB004C006D004
