period,year,half-year,quarter,month,day,indicator,unit,Status,Data producer,Region / business partner,Data type,values,sort
year,2010,,,,,"Real estate price index, Vienna, apartments total, 2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",7.6,AB004C006D002
year,2010,,,,,"Real estate price index, Vienna, new apartments, 2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",5.9,AB004C006D003
year,2010,,,,,"Real estate price index, Vienna, used apartments, 2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",7.8,AB004C006D004
year,2010,,,,,"Real estate price index, Austria excl Vienna, annual change %,2000=100",Percent,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",5.5,AB004C006D005
year,2010,,,,,"Real estate pi, AT (excl. Vienna),single-family houses,00=100 ann.ch%",Percent,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",7.5,AB004C006D006
year,2010,,,,,"Real estate pi, Austria (excl Vienna), apartments total,00=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",4.7,AB004C006D007
year,2010,,,,,"Real estate pi, Austria (excl Vienna), new apartments,2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",3.8,AB004C006D008
year,2010,,,,,"Real estate pi, Austria (excl Vienna), used apartments, 00=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",4.9,AB004C006D009
year,2011,,,,,Austria - Residential Property Price Index 2000=100 hedonic regr model,Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",132.7,AB003C000D000E000
year,2011,,,,,"Real estate price index, Austria (excl. Vienna), 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",124.0,AB003C000D000E000F000
year,2011,,,,,"Real estate pi, Austria (excl. Vienna),single-family houses, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",112.4,AB003C000D000E000F000G000
year,2011,,,,,"Real estate pi, Austria (excl Vienna), apartments total, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",128.9,AB003C000D000E000F000G001
year,2011,,,,,"Real estate pi, Austria (excl Vienna), new apartments, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",121.2,AB003C000D000E000F000G002
year,2011,,,,,"Real estate pi, Austria (excl Vienna), used apartments, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",130.0,AB003C000D000E000F000G003
year,2011,,,,,"Real estate price index, Vienna, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",156.1,AB003C000D000E000F001
year,2011,,,,,"Real estate price index, Vienna, single-family houses, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",165.5,AB003C000D000E000F001G000
year,2011,,,,,"Real estate price index, Vienna, apartments total, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",155.4,AB003C000D000E000F001G001
year,2011,,,,,"Real estate price index, Vienna, new apartments, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",144.5,AB003C000D000E000F001G002
year,2011,,,,,"Real estate price index, Vienna, used apartments, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",157.3,AB003C000D000E000F001G003
year,2011,,,,,Austria - Resid Property Price Index 00=100 hedonic regr model annch%,Percent,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",4.2,AB004C006
year,2011,,,,,"Real estate price index, Vienna, annual change in %, 2000=100",Percent,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",8.5,AB004C006D000
year,2011,,,,,"Real estate price index, Vienna, single-family houses,2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",1.4,AB004C006D001
year,2011,,,,,"Real estate price index, Vienna, apartments total, 2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",9.1,AB004C006D002
year,2011,,,,,"Real estate price index, Vienna, new apartments, 2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",9.8,AB004C006D003
year,2011,,,,,"Real estate price index, Vienna, used apartments, 2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",9.0,AB004C006D004
year,2011,,,,,"Real estate price index, Austria excl Vienna, annual change %,2000=100",Percent,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",2.3,AB004C006D005
year,2011,,,,,"Real estate pi, AT (excl. Vienna),single-family houses,00=100 ann.ch%",Percent,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",-3.4,AB004C006D006
year,2011,,,,,"Real estate pi, Austria (excl Vienna), apartments total,00=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",4.6,AB004C006D007
year,2011,,,,,"Real estate pi, Austria (excl Vienna), new apartments,2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",-3.5,AB004C006D008
year,2011,,,,,"Real estate pi, Austria (excl Vienna), used apartments, 00=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",5.9,AB004C006D009
year,2012,,,,,Austria - Residential Property Price Index 2000=100 hedonic regr model,Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",149.1,AB003C000D000E000
year,2012,,,,,"Real estate price index, Austria (excl. Vienna), 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",137.4,AB003C000D000E000F000
year,2012,,,,,"Real estate pi, Austria (excl. Vienna),single-family houses, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",122.1,AB003C000D000E000F000G000
year,2012,,,,,"Real estate pi, Austria (excl Vienna), apartments total, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",143.9,AB003C000D000E000F000G001
year,2012,,,,,"Real estate pi, Austria (excl Vienna), new apartments, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",123.9,AB003C000D000E000F000G002
year,2012,,,,,"Real estate pi, Austria (excl Vienna), used apartments, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",146.8,AB003C000D000E000F000G003
year,2012,,,,,"Real estate price index, Vienna, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",180.7,AB003C000D000E000F001
year,2012,,,,,"Real estate price index, Vienna, single-family houses, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",171.3,AB003C000D000E000F001G000
year,2012,,,,,"Real estate price index, Vienna, apartments total, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",181.4,AB003C000D000E000F001G001
year,2012,,,,,"Real estate price index, Vienna, new apartments, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",154.6,AB003C000D000E000F001G002
year,2012,,,,,"Real estate price index, Vienna, used apartments, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",185.9,AB003C000D000E000F001G003
year,2012,,,,,Austria - Resid Property Price Index 00=100 hedonic regr model annch%,Percent,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",12.4,AB004C006
year,2012,,,,,"Real estate price index, Vienna, annual change in %, 2000=100",Percent,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",15.7,AB004C006D000
year,2012,,,,,"Real estate price index, Vienna, single-family houses,2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",3.5,AB004C006D001
year,2012,,,,,"Real estate price index, Vienna, apartments total, 2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",16.7,AB004C006D002
year,2012,,,,,"Real estate price index, Vienna, new apartments, 2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",7.0,AB004C006D003
year,2012,,,,,"Real estate price index, Vienna, used apartments, 2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",18.2,AB004C006D004
year,2012,,,,,"Real estate price index, Austria excl Vienna, annual change %,2000=100",Percent,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",10.8,AB004C006D005
year,2012,,,,,"Real estate pi, AT (excl. Vienna),single-family houses,00=100 ann.ch%",Percent,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",8.7,AB004C006D006
year,2012,,,,,"Real estate pi, Austria (excl Vienna), apartments total,00=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",11.6,AB004C006D007
year,2012,,,,,"Real estate pi, Austria (excl Vienna), new apartments,2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",2.2,AB004C006D008
year,2012,,,,,"Real estate pi, Austria (excl Vienna), used apartments, 00=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",12.9,AB004C006D009
year,2013,,,,,Austria - Residential Property Price Index 2000=100 hedonic regr model,Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",156.0,AB003C000D000E000
year,2013,,,,,"Real estate price index, Austria (excl. Vienna), 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",141.1,AB003C000D000E000F000
year,2013,,,,,"Real estate pi, Austria (excl. Vienna),single-family houses, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",123.5,AB003C000D000E000F000G000
year,2013,,,,,"Real estate pi, Austria (excl Vienna), apartments total, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",148.6,AB003C000D000E000F000G001
year,2013,,,,,"Real estate pi, Austria (excl Vienna), new apartments, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",126.6,AB003C000D000E000F000G002
year,2013,,,,,"Real estate pi, Austria (excl Vienna), used apartments, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",151.8,AB003C000D000E000F000G003
year,2013,,,,,"Real estate price index, Vienna, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",196.3,AB003C000D000E000F001
year,2013,,,,,"Real estate price index, Vienna, single-family houses, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",176.3,AB003C000D000E000F001G000
year,2013,,,,,"Real estate price index, Vienna, apartments total, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",197.8,AB003C000D000E000F001G001
year,2013,,,,,"Real estate price index, Vienna, new apartments, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",160.3,AB003C000D000E000F001G002
year,2013,,,,,"Real estate price index, Vienna, used apartments, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",204.2,AB003C000D000E000F001G003
year,2013,,,,,Austria - Resid Property Price Index 00=100 hedonic regr model annch%,Percent,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",4.7,AB004C006
year,2013,,,,,"Real estate price index, Vienna, annual change in %, 2000=100",Percent,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",8.7,AB004C006D000
year,2013,,,,,"Real estate price index, Vienna, single-family houses,2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",2.9,AB004C006D001
year,2013,,,,,"Real estate price index, Vienna, apartments total, 2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",9.1,AB004C006D002
year,2013,,,,,"Real estate price index, Vienna, new apartments, 2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",3.7,AB004C006D003
year,2013,,,,,"Real estate price index, Vienna, used apartments, 2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",9.8,AB004C006D004
year,2013,,,,,"Real estate price index, Austria excl Vienna, annual change %,2000=100",Percent,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",2.7,AB004C006D005
year,2013,,,,,"Real estate pi, AT (excl. Vienna),single-family houses,00=100 ann.ch%",Percent,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",1.1,AB004C006D006
year,2013,,,,,"Real estate pi, Austria (excl Vienna), apartments total,00=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",3.3,AB004C006D007
year,2013,,,,,"Real estate pi, Austria (excl Vienna), new apartments,2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",2.2,AB004C006D008
year,2013,,,,,"Real estate pi, Austria (excl Vienna), used apartments, 00=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",3.4,AB004C006D009
year,2014,,,,,Austria - Residential Property Price Index 2000=100 hedonic regr model,Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",161.4,AB003C000D000E000
year,2014,,,,,"Real estate price index, Austria (excl. Vienna), 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",145.4,AB003C000D000E000F000
year,2014,,,,,"Real estate pi, Austria (excl. Vienna),single-family houses, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",131.4,AB003C000D000E000F000G000
year,2014,,,,,"Real estate pi, Austria (excl Vienna), apartments total, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",151.4,AB003C000D000E000F000G001
year,2014,,,,,"Real estate pi, Austria (excl Vienna), new apartments, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",112.4,AB003C000D000E000F000G002
year,2014,,,,,"Real estate pi, Austria (excl Vienna), used apartments, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",157.1,AB003C000D000E000F000G003
year,2014,,,,,"Real estate price index, Vienna, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",204.6,AB003C000D000E000F001
year,2014,,,,,"Real estate price index, Vienna, single-family houses, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",170.5,AB003C000D000E000F001G000
year,2014,,,,,"Real estate price index, Vienna, apartments total, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",207.2,AB003C000D000E000F001G001
year,2014,,,,,"Real estate price index, Vienna, new apartments, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",161.9,AB003C000D000E000F001G002
year,2014,,,,,"Real estate price index, Vienna, used apartments, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",214.9,AB003C000D000E000F001G003
year,2014,,,,,Austria - Resid Property Price Index 00=100 hedonic regr model annch%,Percent,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",3.5,AB004C006
year,2014,,,,,"Real estate price index, Vienna, annual change in %, 2000=100",Percent,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",4.2,AB004C006D000
year,2014,,,,,"Real estate price index, Vienna, single-family houses,2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",-3.3,AB004C006D001
year,2014,,,,,"Real estate price index, Vienna, apartments total, 2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",4.7,AB004C006D002
year,2014,,,,,"Real estate price index, Vienna, new apartments, 2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",1.0,AB004C006D003
year,2014,,,,,"Real estate price index, Vienna, used apartments, 2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",5.2,AB004C006D004
year,2014,,,,,"Real estate price index, Austria excl Vienna, annual change %,2000=100",Percent,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",3.1,AB004C006D005
year,2014,,,,,"Real estate pi, AT (excl. Vienna),single-family houses,00=100 ann.ch%",Percent,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",6.4,AB004C006D006
year,2014,,,,,"Real estate pi, Austria (excl Vienna), apartments total,00=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",1.9,AB004C006D007
year,2014,,,,,"Real estate pi, Austria (excl Vienna), new apartments,2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",-11.2,AB004C006D008
year,2014,,,,,"Real estate pi, Austria (excl Vienna), used apartments, 00=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",3.5,AB004C006D009
year,2015,,,,,Austria - Residential Property Price Index 2000=100 hedonic regr model,Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",168.1,AB003C000D000E000
year,2015,,,,,"Real estate price index, Austria (excl. Vienna), 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",152.9,AB003C000D000E000F000
year,2015,,,,,"Real estate pi, Austria (excl. Vienna),single-family houses, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",140.3,AB003C000D000E000F000G000
year,2015,,,,,"Real estate pi, Austria (excl Vienna), apartments total, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",158.2,AB003C000D000E000F000G001
year,2015,,,,,"Real estate pi, Austria (excl Vienna), new apartments, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",112.8,AB003C000D000E000F000G002
year,2015,,,,,"Real estate pi, Austria (excl Vienna), used apartments, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",164.8,AB003C000D000E000F000G003
year,2015,,,,,"Real estate price index, Vienna, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",209.2,AB003C000D000E000F001
year,2015,,,,,"Real estate price index, Vienna, single-family houses, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",174.9,AB003C000D000E000F001G000
year,2015,,,,,"Real estate price index, Vienna, apartments total, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",211.8,AB003C000D000E000F001G001
year,2015,,,,,"Real estate price index, Vienna, new apartments, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",169.6,AB003C000D000E000F001G002
year,2015,,,,,"Real estate price index, Vienna, used apartments, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",218.9,AB003C000D000E000F001G003
year,2015,,,,,Austria - Resid Property Price Index 00=100 hedonic regr model annch%,Percent,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",4.1,AB004C006
year,2015,,,,,"Real estate price index, Vienna, annual change in %, 2000=100",Percent,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",2.2,AB004C006D000
year,2015,,,,,"Real estate price index, Vienna, single-family houses,2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",2.6,AB004C006D001
year,2015,,,,,"Real estate price index, Vienna, apartments total, 2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",2.2,AB004C006D002
year,2015,,,,,"Real estate price index, Vienna, new apartments, 2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",4.7,AB004C006D003
year,2015,,,,,"Real estate price index, Vienna, used apartments, 2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",1.9,AB004C006D004
year,2015,,,,,"Real estate price index, Austria excl Vienna, annual change %,2000=100",Percent,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",5.1,AB004C006D005
year,2015,,,,,"Real estate pi, AT (excl. Vienna),single-family houses,00=100 ann.ch%",Percent,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",6.8,AB004C006D006
year,2015,,,,,"Real estate pi, Austria (excl Vienna), apartments total,00=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",4.5,AB004C006D007
year,2015,,,,,"Real estate pi, Austria (excl Vienna), new apartments,2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",0.4,AB004C006D008
year,2015,,,,,"Real estate pi, Austria (excl Vienna), used apartments, 00=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",4.9,AB004C006D009
year,2016,,,,,Austria - Residential Property Price Index 2000=100 hedonic regr model,Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",180.4,AB003C000D000E000
year,2016,,,,,"Real estate price index, Austria (excl. Vienna), 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",166.7,AB003C000D000E000F000
year,2016,,,,,"Real estate pi, Austria (excl. Vienna),single-family houses, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",150.9,AB003C000D000E000F000G000
year,2016,,,,,"Real estate pi, Austria (excl Vienna), apartments total, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",173.5,AB003C000D000E000F000G001
year,2016,,,,,"Real estate pi, Austria (excl Vienna), new apartments, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",121.8,AB003C000D000E000F000G002
year,2016,,,,,"Real estate pi, Austria (excl Vienna), used apartments, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",181.0,AB003C000D000E000F000G003
year,2016,,,,,"Real estate price index, Vienna, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",217.5,AB003C000D000E000F001
year,2016,,,,,"Real estate price index, Vienna, single-family houses, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",175.3,AB003C000D000E000F001G000
year,2016,,,,,"Real estate price index, Vienna, apartments total, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",220.7,AB003C000D000E000F001G001
year,2016,,,,,"Real estate price index, Vienna, new apartments, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",186.8,AB003C000D000E000F001G002
year,2016,,,,,"Real estate price index, Vienna, used apartments, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",226.4,AB003C000D000E000F001G003
year,2016,,,,,Austria - Resid Property Price Index 00=100 hedonic regr model annch%,Percent,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",7.3,AB004C006
year,2016,,,,,"Real estate price index, Vienna, annual change in %, 2000=100",Percent,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",3.8,AB004C006D000
year,2016,,,,,"Real estate price index, Vienna, single-family houses,2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",10.1,AB004C006D001
year,2016,,,,,"Real estate price index, Vienna, apartments total, 2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",3.4,AB004C006D002
year,2016,,,,,"Real estate price index, Vienna, new apartments, 2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",4.2,AB004C006D003
year,2016,,,,,"Real estate price index, Vienna, used apartments, 2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",-1.9,AB004C006D004
year,2016,,,,,"Real estate price index, Austria excl Vienna, annual change %,2000=100",Percent,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",9.1,AB004C006D005
year,2016,,,,,"Real estate pi, AT (excl. Vienna),single-family houses,00=100 ann.ch%",Percent,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",7.5,AB004C006D006
year,2016,,,,,"Real estate pi, Austria (excl Vienna), apartments total,00=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",9.7,AB004C006D007
year,2016,,,,,"Real estate pi, Austria (excl Vienna), new apartments,2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",7.9,AB004C006D008
year,2016,,,,,"Real estate pi, Austria (excl Vienna), used apartments, 00=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",9.8,AB004C006D009
year,2017,,,,,Austria - Residential Property Price Index 2000=100 hedonic regr model,Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",187.2,AB003C000D000E000
year,2017,,,,,"Real estate price index, Austria (excl. Vienna), 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",174.9,AB003C000D000E000F000
year,2017,,,,,"Real estate pi, Austria (excl. Vienna),single-family houses, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",153.8,AB003C000D000E000F000G000
year,2017,,,,,"Real estate pi, Austria (excl Vienna), apartments total, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",183.5,AB003C000D000E000F000G001
year,2017,,,,,"Real estate pi, Austria (excl Vienna), new apartments, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",124.3,AB003C000D000E000F000G002
year,2017,,,,,"Real estate pi, Austria (excl Vienna), used apartments, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",191.8,AB003C000D000E000F000G003
year,2017,,,,,"Real estate price index, Vienna, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",220.4,AB003C000D000E000F001
year,2017,,,,,"Real estate price index, Vienna, single-family houses, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",176.0,AB003C000D000E000F001G000
year,2017,,,,,"Real estate price index, Vienna, apartments total, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",223.8,AB003C000D000E000F001G001
year,2017,,,,,"Real estate price index, Vienna, new apartments, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",190.1,AB003C000D000E000F001G002
year,2017,,,,,"Real estate price index, Vienna, used apartments, 2000=100",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",228.3,AB003C000D000E000F001G003
year,2017,,,,,Austria - Resid Property Price Index 00=100 hedonic regr model annch%,Percent,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",3.7,AB004C006
year,2017,,,,,"Real estate price index, Vienna, annual change in %, 2000=100",Percent,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",1.4,AB004C006D000
year,2017,,,,,"Real estate price index, Vienna, single-family houses,2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",0.4,AB004C006D001
year,2017,,,,,"Real estate price index, Vienna, apartments total, 2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",1.4,AB004C006D002
year,2017,,,,,"Real estate price index, Vienna, new apartments, 2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",1.8,AB004C006D003
year,2017,,,,,"Real estate price index, Vienna, used apartments, 2000=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",0.8,AB004C006D004
year,2017,,,,,"Real estate price index, Austria excl Vienna, annual change %,2000=100",Percent,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",4.9,AB004C006D005
year,2017,,,,,"Real estate pi, AT (excl. Vienna),single-family houses,00=100 ann.ch%",Percent,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",1.9,AB004C006D006
year,2017,,,,,"Real estate pi, Austria (excl Vienna), apartments total,00=100 ann.ch%",Index,Neither seasonally nor working day adjusted,Austria,Total,"Standard, in units",5.8,AB004C006D007
